epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1699.27,0.95482,1.61518,1.44188,0.66143,0.53962,0.61654,0.31746,1.50596,2.30341,2.36004,0.000552788,0.000552788,0.000552788
2,3059.27,1.04348,1.22681,1.50027,0.76301,0.68095,0.70125,0.36561,1.67528,1.66711,2.37961,0.00108651,0.00108651,0.00108651
3,4302.1,1.08741,1.12549,1.53183,0.82562,0.61385,0.75109,0.48928,1.29562,1.40813,2.051,0.00159822,0.00159822,0.00159822
4,5251.63,1.07425,1.05189,1.51594,0.86842,0.75874,0.83524,0.53268,1.30764,1.11533,2.15419,0.00156798,0.00156798,0.00156798
5,6199.71,1.03557,0.96289,1.48651,0.84768,0.7982,0.86251,0.58195,1.13725,0.93616,1.86881,0.00153497,0.00153497,0.00153497
6,7146.8,1.00565,0.92699,1.46051,0.9218,0.83315,0.90957,0.64228,1.05647,0.80294,1.77486,0.00150197,0.00150197,0.00150197
7,8092.71,0.98109,0.89893,1.43854,0.86509,0.71026,0.84459,0.58931,1.1056,0.99714,1.75072,0.00146896,0.00146896,0.00146896
8,9032.16,0.98324,0.875,1.44631,0.89148,0.83357,0.90056,0.63029,1.05811,0.80257,1.74553,0.00143595,0.00143595,0.00143595
9,9975.08,0.96387,0.85816,1.42472,0.88898,0.85231,0.90957,0.62286,1.09713,0.79162,1.77878,0.00140295,0.00140295,0.00140295
10,10920.3,0.9403,0.84078,1.39906,0.93979,0.87148,0.93002,0.68923,0.93428,0.64586,1.62829,0.00136994,0.00136994,0.00136994
11,11863.4,0.907,0.79336,1.39732,0.92991,0.85262,0.92821,0.68536,0.94649,0.63822,1.62573,0.00133693,0.00133693,0.00133693
12,12804.2,0.9029,0.78885,1.38081,0.92287,0.87035,0.92741,0.68383,0.95356,0.63666,1.64368,0.00130393,0.00130393,0.00130393
13,13744.2,0.88618,0.77672,1.36729,0.91094,0.88789,0.94412,0.6979,0.92903,0.64378,1.5993,0.00127092,0.00127092,0.00127092
14,14686.5,0.87507,0.76025,1.36103,0.92766,0.86584,0.93587,0.69031,0.92776,0.64535,1.60827,0.00123791,0.00123791,0.00123791
15,15810.8,0.86148,0.74578,1.35244,0.90597,0.87148,0.93435,0.6811,0.98958,0.67969,1.65553,0.00120491,0.00120491,0.00120491
16,17145,0.85984,0.73506,1.35167,0.89453,0.86584,0.92436,0.66368,1.01116,0.68807,1.6847,0.0011719,0.0011719,0.0011719
17,19520.6,0.86518,0.71947,1.35942,0.92104,0.89402,0.94485,0.70706,0.9056,0.6042,1.57628,0.00113889,0.00113889,0.00113889
18,21448.9,0.84327,0.71291,1.33484,0.94866,0.90868,0.95267,0.71642,0.86892,0.54835,1.53879,0.00110589,0.00110589,0.00110589
19,22883.4,0.84751,0.71366,1.3414,0.93737,0.8943,0.95469,0.72233,0.87004,0.57336,1.51545,0.00107288,0.00107288,0.00107288
20,24226.2,0.83059,0.68566,1.31979,0.94363,0.89402,0.94845,0.72522,0.8574,0.55502,1.54212,0.00103987,0.00103987,0.00103987
21,25175.9,0.83155,0.69225,1.33032,0.94366,0.88752,0.94861,0.71624,0.86667,0.54281,1.54553,0.00100687,0.00100687,0.00100687
22,26129.8,0.81217,0.68387,1.31165,0.9239,0.88968,0.9433,0.71471,0.86727,0.57499,1.54228,0.000973861,0.000973861,0.000973861
23,27077.9,0.82407,0.69372,1.31911,0.94064,0.9112,0.95672,0.7289,0.85938,0.53301,1.53692,0.000940855,0.000940855,0.000940855
